"Input number 965500 with intial rewrite term cbbababbbabbabbbbbaad
Generated final number 6209 with final rewrite term cbaaaabaaaaabd
Number of steps: 602  Number of array doubles: 0"
Term	Number
cababbaebabbd	4139
cababbeababbd	4139
cababfbababbd	4139
cabagabababbd	4139
cabfaabababbd	4139
cagaaabababbd	4139
cfaaaabababbd	4139
caaaaaabababbd	4139
caaaaaabababgd	6209
caaaaaababagbd	6209
caaaaaababfabd	6209
caaaaaabagaabd	6209
caaaaaabfaaabd	6209
caaaaaagaaaabd	6209
caaaaafaaaaabd	6209
caaaaebaaaaabd	6209
caaaeabaaaaabd	6209
caaeaabaaaaabd	6209
caeaaabaaaaabd	6209
ceaaaabaaaaabd	6209
cbaaaabaaaaabd	6209
