"Input number 782053216 with intial rewrite term cabbbabaabbbabaababbbbabbaaaaad
Generated final number 22320517 with final rewrite term cabababaabaabababbaaaababd
Number of steps: 506  Number of array doubles: 0"
Term	Number
caaaabbabaaabbafbbabbbaabd	26453945
caaaabbabaaabbebbbabbbaabd	26453945
caaaabbabaaabfbbbbabbbaabd	26453945
caaaabbabaaagabbbbabbbaabd	26453945
caaaabbabaafaabbbbabbbaabd	26453945
caaaabbabaebaabbbbabbbaabd	26453945
caaaabbabeabaabbbbabbbaabd	26453945
caaaabbafbabaabbbbabbbaabd	26453945
caaaabbebbabaabbbbabbbaabd	26453945
caaaabfbbbabaabbbbabbbaabd	26453945
caaaagabbbabaabbbbabbbaabd	26453945
caaafaabbbabaabbbbabbbaabd	26453945
caaebaabbbabaabbbbabbbaabd	26453945
caeabaabbbabaabbbbabbbaabd	26453945
ceaabaabbbabaabbbbabbbaabd	26453945
cbaabaabbbabaabbbbabbbaabd	26453945
cbaabaabbbabaabbbbabbbebd	19840459
cbaabaabbbabaabbbbabbfbbd	19840459
cbaabaabbbabaabbbbabgabbd	19840459
cbaabaabbbabaabbbbagbabbd	19840459
cbaabaabbbabaabbbbfababbd	19840459
cbaabaabbbabaabbbgaababbd	19840459
cbaabaabbbabaabbgbaababbd	19840459
cbaabaabbbabaabgbbaababbd	19840459
cbaabaabbbabaagbbbaababbd	19840459
cbaabaabbbabafabbbaababbd	19840459
cbaabaabbbabebabbbaababbd	19840459
cbaabaabbbafbbabbbaababbd	19840459
cbaabaabbbebbbabbbaababbd	19840459
cbaabaabbfbbbbabbbaababbd	19840459
cbaabaabgabbbbabbbaababbd	19840459
cbaabaagbabbbbabbbaababbd	19840459
cbaabafababbbbabbbaababbd	19840459
cbaabebababbbbabbbaababbd	19840459
cbaafbbababbbbabbbaababbd	19840459
cbaebbbababbbbabbbaababbd	19840459
cbeabbbababbbbabbbaababbd	19840459
cfbabbbababbbbabbbaababbd	19840459
caababbbababbbbabbbaababbd	19840459
caababbbababbbbabbbaabfabd	29760689
caababbbababbbbabbbaagaabd	29760689
caababbbababbbbabbbafaaabd	29760689
caababbbababbbbabbbebaaabd	29760689
caababbbababbbbabbfbbaaabd	29760689
caababbbababbbbabgabbaaabd	29760689
caababbbababbbbagbabbaaabd	29760689
caababbbababbbbfababbaaabd	29760689
caababbbababbbgaababbaaabd	29760689
caababbbababbgbaababbaaabd	29760689
caababbbababgbbaababbaaabd	29760689
caababbbabagbbbaababbaaabd	29760689
caababbbabfabbbaababbaaabd	29760689
caababbbagaabbbaababbaaabd	29760689
caababbbfaaabbbaababbaaabd	29760689
caababbgaaaabbbaababbaaabd	29760689
caababgbaaaabbbaababbaaabd	29760689
caabagbbaaaabbbaababbaaabd	29760689
caabfabbaaaabbbaababbaaabd	29760689
caagaabbaaaabbbaababbaaabd	29760689
cafaaabbaaaabbbaababbaaabd	29760689
cebaaabbaaaabbbaababbaaabd	29760689
cbbaaabbaaaabbbaababbaaabd	29760689
cbbaaabbaaaabbbaababbaebd	22320517
cbbaaabbaaaabbbaababbeabd	22320517
cbbaaabbaaaabbbaababfbabd	22320517
cbbaaabbaaaabbbaabagababd	22320517
cbbaaabbaaaabbbaabfaababd	22320517
cbbaaabbaaaabbbaagaaababd	22320517
cbbaaabbaaaabbbafaaaababd	22320517
cbbaaabbaaaabbbebaaaababd	22320517
cbbaaabbaaaabbfbbaaaababd	22320517
cbbaaabbaaaabgabbaaaababd	22320517
cbbaaabbaaaagbabbaaaababd	22320517
cbbaaabbaaafababbaaaababd	22320517
cbbaaabbaaebababbaaaababd	22320517
cbbaaabbaeabababbaaaababd	22320517
cbbaaabbeaabababbaaaababd	22320517
cbbaaabfbaabababbaaaababd	22320517
cbbaaagabaabababbaaaababd	22320517
cbbaafaabaabababbaaaababd	22320517
cbbaebaabaabababbaaaababd	22320517
cbbeabaabaabababbaaaababd	22320517
cbfbabaabaabababbaaaababd	22320517
cgababaabaabababbaaaababd	22320517
cabababaabaabababbaaaababd	22320517
