"Input number 959414494 with intial rewrite term cbbaabaababbbbbaaaaaaabbabbbbad
Generated final number 471412148906647493 with final rewrite term cbabaaabababbaabababbabbabaaaaabbbaabbaaabaababbbbbbbaaababd
Number of steps: 3207  Number of array doubles: 0"
Term	Number
caaabaababbaabbaabbbgaaabaababbbbd	6915584303
caaabaababbaabbaabbgbaaabaababbbbd	6915584303
caaabaababbaabbaabgbbaaabaababbbbd	6915584303
caaabaababbaabbaagbbbaaabaababbbbd	6915584303
caaabaababbaabbafabbbaaabaababbbbd	6915584303
caaabaababbaabbebabbbaaabaababbbbd	6915584303
caaabaababbaabfbbabbbaaabaababbbbd	6915584303
caaabaababbaagabbabbbaaabaababbbbd	6915584303
caaabaababbafaabbabbbaaabaababbbbd	6915584303
caaabaababbebaabbabbbaaabaababbbbd	6915584303
caaabaababfbbaabbabbbaaabaababbbbd	6915584303
caaabaabagabbaabbabbbaaabaababbbbd	6915584303
caaabaabfaabbaabbabbbaaabaababbbbd	6915584303
caaabaagaaabbaabbabbbaaabaababbbbd	6915584303
caaabafaaaabbaabbabbbaaabaababbbbd	6915584303
caaabebaaaabbaabbabbbaaabaababbbbd	6915584303
caaafbbaaaabbaabbabbbaaabaababbbbd	6915584303
caaebbbaaaabbaabbabbbaaabaababbbbd	6915584303
caeabbbaaaabbaabbabbbaaabaababbbbd	6915584303
ceaabbbaaaabbaabbabbbaaabaababbbbd	6915584303
cbaabbbaaaabbaabbabbbaaabaababbbbd	6915584303
cbaabbbaaaabbaabbabbbaaabaababbbgd	10373376455
cbaabbbaaaabbaabbabbbaaabaababbgbd	10373376455
cbaabbbaaaabbaabbabbbaaabaababgbbd	10373376455
cbaabbbaaaabbaabbabbbaaabaabagbbbd	10373376455
cbaabbbaaaabbaabbabbbaaabaabfabbbd	10373376455
cbaabbbaaaabbaabbabbbaaabaagaabbbd	10373376455
cbaabbbaaaabbaabbabbbaaabafaaabbbd	10373376455
cbaabbbaaaabbaabbabbbaaabebaaabbbd	10373376455
cbaabbbaaaabbaabbabbbaaafbbaaabbbd	10373376455
cbaabbbaaaabbaabbabbbaaebbbaaabbbd	10373376455
cbaabbbaaaabbaabbabbbaeabbbaaabbbd	10373376455
cbaabbbaaaabbaabbabbbeaabbbaaabbbd	10373376455
cbaabbbaaaabbaabbabbfbaabbbaaabbbd	10373376455
cbaabbbaaaabbaabbabgabaabbbaaabbbd	10373376455
cbaabbbaaaabbaabbagbabaabbbaaabbbd	10373376455
cbaabbbaaaabbaabbfababaabbbaaabbbd	10373376455
cbaabbbaaaabbaabgaababaabbbaaabbbd	10373376455
cbaabbbaaaabbaagbaababaabbbaaabbbd	10373376455
cbaabbbaaaabbafabaababaabbbaaabbbd	10373376455
cbaabbbaaaabbebabaababaabbbaaabbbd	10373376455
cbaabbbaaaabfbbabaababaabbbaaabbbd	10373376455
cbaabbbaaaagabbabaababaabbbaaabbbd	10373376455
cbaabbbaaafaabbabaababaabbbaaabbbd	10373376455
cbaabbbaaebaabbabaababaabbbaaabbbd	10373376455
cbaabbbaeabaabbabaababaabbbaaabbbd	10373376455
cbaabbbeaabaabbabaababaabbbaaabbbd	10373376455
cbaabbfbaabaabbabaababaabbbaaabbbd	10373376455
cbaabgabaabaabbabaababaabbbaaabbbd	10373376455
cbaagbabaabaabbabaababaabbbaaabbbd	10373376455
cbafababaabaabbabaababaabbbaaabbbd	10373376455
cbebababaabaabbabaababaabbbaaabbbd	10373376455
cfbbababaabaabbabaababaabbbaaabbbd	10373376455
caabbababaabaabbabaababaabbbaaabbbd	10373376455
caabbababaabaabbabaababaabbbaaabbgd	15560064683
caabbababaabaabbabaababaabbbaaabgbd	15560064683
caabbababaabaabbabaababaabbbaaagbbd	15560064683
caabbababaabaabbabaababaabbbaafabbd	15560064683
caabbababaabaabbabaababaabbbaebabbd	15560064683
caabbababaabaabbabaababaabbbeababbd	15560064683
caabbababaabaabbabaababaabbfbababbd	15560064683
caabbababaabaabbabaababaabgabababbd	15560064683
caabbababaabaabbabaababaagbabababbd	15560064683
caabbababaabaabbabaababafababababbd	15560064683
caabbababaabaabbabaababebababababbd	15560064683
caabbababaabaabbabaabafbbababababbd	15560064683
caabbababaabaabbabaabebbbababababbd	15560064683
caabbababaabaabbabaafbbbbababababbd	15560064683
caabbababaabaabbabaebbbbbababababbd	15560064683
caabbababaabaabbabeabbbbbababababbd	15560064683
caabbababaabaabbafbabbbbbababababbd	15560064683
caabbababaabaabbebbabbbbbababababbd	15560064683
caabbababaabaabfbbbabbbbbababababbd	15560064683
caabbababaabaagabbbabbbbbababababbd	15560064683
caabbababaabafaabbbabbbbbababababbd	15560064683
caabbababaabebaabbbabbbbbababababbd	15560064683
caabbababaafbbaabbbabbbbbababababbd	15560064683
caabbababaebbbaabbbabbbbbababababbd	15560064683
caabbababeabbbaabbbabbbbbababababbd	15560064683
caabbabafbabbbaabbbabbbbbababababbd	15560064683
caabbabebbabbbaabbbabbbbbababababbd	15560064683
caabbafbbbabbbaabbbabbbbbababababbd	15560064683
caabbebbbbabbbaabbbabbbbbababababbd	15560064683
caabfbbbbbabbbaabbbabbbbbababababbd	15560064683
caagabbbbbabbbaabbbabbbbbababababbd	15560064683
cafaabbbbbabbbaabbbabbbbbababababbd	15560064683
cebaabbbbbabbbaabbbabbbbbababababbd	15560064683
cbbaabbbbbabbbaabbbabbbbbababababbd	15560064683
cbbaabbbbbabbbaabbbabbbbbababababgd	23340097025
cbbaabbbbbabbbaabbbabbbbbabababagbd	23340097025
cbbaabbbbbabbbaabbbabbbbbabababfabd	23340097025
