"Input number 10473136 with intial rewrite term caabbbbbbbaabbbababbaaaad
Generated final number 620527837 with final rewrite term caabaabbbbbbaabaaaaaaabbabbbabd
Number of steps: 855  Number of array doubles: 0"
Term	Number
cbaeaabbbbbabaaaabbbbbaaaabd	153043937
cbeaaabbbbbabaaaabbbbbaaaabd	153043937
cfbaaabbbbbabaaaabbbbbaaaabd	153043937
caabaaabbbbbabaaaabbbbbaaaabd	153043937
caabaaabbbbbabaaaabbbbbaaaagd	229565906
caabaaabbbbbabaaaabbbbbaaafad	229565906
caabaaabbbbbabaaaabbbbbaaebad	229565906
caabaaabbbbbabaaaabbbbbaeabad	229565906
caabaaabbbbbabaaaabbbbbeaabad	229565906
caabaaabbbbbabaaaabbbbfbaabad	229565906
caabaaabbbbbabaaaabbbgabaabad	229565906
caabaaabbbbbabaaaabbgbabaabad	229565906
caabaaabbbbbabaaaabgbbabaabad	229565906
caabaaabbbbbabaaaagbbbabaabad	229565906
caabaaabbbbbabaaafabbbabaabad	229565906
caabaaabbbbbabaaebabbbabaabad	229565906
caabaaabbbbbabaeababbbabaabad	229565906
caabaaabbbbbabeaababbbabaabad	229565906
caabaaabbbbbafbaababbbabaabad	229565906
caabaaabbbbbebbaababbbabaabad	229565906
caabaaabbbbfbbbaababbbabaabad	229565906
caabaaabbbgabbbaababbbabaabad	229565906
caabaaabbgbabbbaababbbabaabad	229565906
caabaaabgbbabbbaababbbabaabad	229565906
caabaaagbbbabbbaababbbabaabad	229565906
caabaafabbbabbbaababbbabaabad	229565906
caabaebabbbabbbaababbbabaabad	229565906
caabeababbbabbbaababbbabaabad	229565906
caafbababbbabbbaababbbabaabad	229565906
caebbababbbabbbaababbbabaabad	229565906
ceabbababbbabbbaababbbabaabad	229565906
cbabbababbbabbbaababbbabaabad	229565906
cbabbababbbabbbaababbbabaabd	114782953
cbabbababbbabbbaababbbabaagd	172174430
cbabbababbbabbbaababbbabafad	172174430
cbabbababbbabbbaababbbabebad	172174430
cbabbababbbabbbaababbbafbbad	172174430
cbabbababbbabbbaababbbebbbad	172174430
